no,id_event,nis,name,id_role,jenis_kelamin,jenis_latihan,peserta,tipe_ukt,id_ranting,rayon,tingkatan
1,4,1,Dasya Buckingham,siswa,Laki laki,Privat,Privat - Laki laki,UKCW,2,Yingzai,UKCW
2,4,2,Nicol Randell,siswa,Perempuan,Privat,Privat - Perempuan,UKCW,2,La Garenne-Colombes,UKCW
3,4,0,Arel Martindale,siswa,Perempuan,Privat,Privat - Perempuan,UKCW,2,Fengyan,UKCW
4,4,280,Olympe Hamments,siswa,Perempuan,Privat,Privat - Perempuan,UKCW,2,Castedo,UKCW
5,4,18,Zora Cowderay,siswa,Laki laki,Privat,Privat - Laki laki,UKCW,2,Daşoguz,UKCW
6,4,69782,Vic Mendus,siswa,Perempuan,Privat,Privat - Perempuan,UKCW,2,Bulls,UKCW
7,3,74225,Sheila Rastall,siswa,Perempuan,Privat,Privat - Perempuan,UKT Putih,2,Cusapín,Putih
8,4,555,Olympie Doret,siswa,Perempuan,Privat,Privat - Perempuan,UKCW,2,Luxi,UKCW
9,4,18,Tait Setter,siswa,Perempuan,Remaja,Remaja - Perempuan,UKCW,2,Miguel Hidalgo,UKCW
10,1,21,Hortensia Aslum,siswa,Perempuan,Remaja,Remaja - Perempuan,UKT Jambon,2,Zaozhuang,Hitam
11,1,2,Leicester Fairfoull,siswa,Perempuan,Privat,Privat - Perempuan,UKT Jambon,2,Bagulin,Hitam
12,4,4,Jackelyn Edwin,siswa,Perempuan,Privat,Privat - Perempuan,UKCW,2,Midland,UKCW
13,4,7,Shermy Eyrl,siswa,Laki laki,Remaja,Remaja - Laki laki,UKCW,2,Sobue,UKCW
14,4,25,Roseanna Yoselevitch,siswa,Perempuan,Privat,Privat - Perempuan,UKCW,2,København,UKCW
15,3,6779,Colin Galbraith,siswa,Perempuan,Privat,Privat - Perempuan,UKT Putih,2,Potęgowo,Putih
16,2,5434,Mahmoud Luffman,siswa,Laki laki,Privat,Privat - Laki laki,UKT Hijau,2,Tamaulipas,Hijau
17,2,17,Lewiss Voelker,siswa,Laki laki,Privat,Privat - Laki laki,UKT Hijau,2,Orléans,Hijau
18,4,721,Duffy Pirt,siswa,Perempuan,Remaja,Remaja - Perempuan,UKCW,2,Mberubu,UKCW
19,1,30993,Isabella Dalliston,siswa,Perempuan,Privat,Privat - Perempuan,UKT Jambon,2,Jinhe,Hitam
20,2,24,Gabrielle Joerning,siswa,Laki laki,Privat,Privat - Laki laki,UKT Hijau,2,Hengshan,Hijau
21,4,60379,Manolo Liddle,siswa,Perempuan,Privat,Privat - Perempuan,UKCW,2,Bhakkar,UKCW
22,2,390,Antoine Bedells,siswa,Laki laki,Remaja,Remaja - Laki laki,UKT Hijau,2,Ejidal,Hijau
23,2,20705,Sandie Bellon,siswa,Laki laki,Remaja,Remaja - Laki laki,UKT Hijau,2,Biscucuy,Hijau
24,2,6,Olivette Cozzi,siswa,Perempuan,Privat,Privat - Perempuan,UKT Hijau,2,Caticugan,Hijau
25,2,58282,Bili Ousbie,siswa,Laki laki,Privat,Privat - Laki laki,UKT Hijau,2,Górki,Hijau
26,1,584,Ruy Rameau,siswa,Laki laki,Privat,Privat - Laki laki,UKT Jambon,2,Tangquan,Hitam
27,1,244,Odo Antrack,siswa,Perempuan,Remaja,Remaja - Perempuan,UKT Jambon,2,Lũng Hồ,Hitam
28,3,1,Shannon Covert,siswa,Perempuan,Privat,Privat - Perempuan,UKT Putih,2,Mongaguá,Putih
29,3,584,Lanie Teulier,siswa,Perempuan,Privat,Privat - Perempuan,UKT Putih,2,Lysekil,Putih
30,2,2576,Templeton Radden,siswa,Perempuan,Remaja,Remaja - Perempuan,UKT Hijau,2,Nykvarn,Hijau
31,1,630,Fionnula Camacho,siswa,Laki laki,Remaja,Remaja - Laki laki,UKT Jambon,2,Kangin,Hitam
32,3,493,Constantine Wychard,siswa,Laki laki,Remaja,Remaja - Laki laki,UKT Putih,2,Kilifi,Putih
33,3,81,Ambrosius Yare,siswa,Laki laki,Remaja,Remaja - Laki laki,UKT Putih,2,Alqueidão,Putih
34,1,5342,Ilysa Stavers,siswa,Laki laki,Privat,Privat - Laki laki,UKT Jambon,2,Barra,Hitam
35,4,887,Jessamine Borham,siswa,Perempuan,Remaja,Remaja - Perempuan,UKCW,2,Qal‘at Bīshah,UKCW
36,1,453,Ode Chuter,siswa,Laki laki,Privat,Privat - Laki laki,UKT Jambon,2,Laiyang,Hitam
37,4,8,Even Billingsley,siswa,Laki laki,Remaja,Remaja - Laki laki,UKCW,2,Alvaiázere,UKCW
38,4,7372,Aila Poyzer,siswa,Perempuan,Privat,Privat - Perempuan,UKCW,2,Kalapagada,UKCW
39,1,962,Louella Lerego,siswa,Laki laki,Privat,Privat - Laki laki,UKT Jambon,2,San Pedro Zacapa,Hitam
40,1,7,Pascale Eggle,siswa,Laki laki,Privat,Privat - Laki laki,UKT Jambon,2,Gllogjan,Hitam
41,4,701,Anestassia Alsobrook,siswa,Laki laki,Privat,Privat - Laki laki,UKCW,2,São Pedro,UKCW
42,3,5967,Guinna Baldwin,siswa,Perempuan,Privat,Privat - Perempuan,UKT Putih,2,Pokój,Putih
43,4,218,Carlo Vane,siswa,Perempuan,Remaja,Remaja - Perempuan,UKCW,2,Luoxiong,UKCW
44,4,7887,Aylmer Cleef,siswa,Perempuan,Remaja,Remaja - Perempuan,UKCW,2,San Antonio,UKCW
45,3,13,Quinn Hurne,siswa,Laki laki,Remaja,Remaja - Laki laki,UKT Putih,2,Hanfeng,Putih
46,2,81569,Ingar Chifney,siswa,Perempuan,Privat,Privat - Perempuan,UKT Hijau,2,Água Levada,Hijau
